Temporada,Time,Pontos,Vitorias,Empates,Derrotas,Saldo_Gols
2019,Flamengo,90,28,6,4,49
2021,Atletico-MG,84,26,6,6,32
2015,Corinthians,81,24,9,5,40
2022,Palmeiras,81,23,12,3,39
2016,Palmeiras,80,24,8,6,30
2014,Cruzeiro,80,24,8,6,29
2018,Palmeiras,80,23,11,4,38
2012,Fluminense,77,22,11,5,28
2013,Cruzeiro,76,23,7,8,40
2019,Santos,74,22,8,8,27
2019,Palmeiras,74,21,11,6,29
2022,Internacional,73,20,13,5,27
2012,Atletico-MG,72,20,12,6,27
2018,Flamengo,72,21,9,8,30
2017,Corinthians,72,21,9,8,20
2016,Flamengo,71,20,11,7,17
2020,Flamengo,71,21,8,9,20
2021,Flamengo,71,21,8,9,33
2012,Gremio,71,20,11,7,23
2016,Santos,71,22,5,11,24
2015,Atletico-MG,70,21,7,10,20
2022,Fluminense,70,21,7,10,22
2020,Internacional,70,20,10,8,26
2014,Sao Paulo,70,20,10,8,19
2018,Internacional,69,19,12,7,22
2014,Corinthians,69,19,12,7,18
2014,Internacional,69,21,6,11,12
2015,Gremio,68,20,8,10,20
2020,Atletico-MG,68,20,8,10,19
2012,Sao Paulo,66,20,6,12,22
2020,Sao Paulo,66,18,12,8,18
2018,Gremio,66,18,12,8,21
2019,Gremio,65,19,8,11,25
2013,Gremio,65,18,11,9,7
2022,Corinthians,65,18,11,9,8
2013,Athletico-PR,64,18,10,10,16
2021,Palmeiras,64,19,7,12,13
2020,Fluminense,64,18,10,10,13
2019,Athletico-PR,64,18,10,10,19
2017,Palmeiras,63,19,6,13,16
2017,Santos,63,17,12,9,10
2018,Sao Paulo,63,16,15,7,12
2022,Flamengo,62,18,8,12,21
2017,Gremio,62,18,8,12,19
2016,Atletico-MG,62,17,11,9,11
2014,Atletico-MG,62,17,11,10,13
2013,Botafogo,61,17,10,11,14
2014,Gremio,61,17,10,11,12
2014,Fluminense,61,17,10,11,19
