Time_Casa,Estado_Time_Casa,Time_Visitante,Estado_Time_Visitante,Gols_Mandante,Gols_Visitante,Temporada,Rodada,Empate,Vencedor,Derrotado,Pontuacao_Casa,Pontuacao_Visitante,Num_Vitorias_Casa,Num_Derrota_Casa,Num_Empate_Casa,Num_Vitorias_Visitante,Num_Derrota_Visitante,Num_Empate_Visitante,Saldo_Mandante,Saldo_Visitante,Total_Pontos_Casa,Total_Vitorias_Casa,Total_Empates_Casa,Total_Derrotas_Casa,Total_Saldo_Casa,Total_Pontos_Visitante,Total_Vitorias_Visitante,Total_Empates_Visitante,Total_Derrotas_Visitante,Total_Saldo_Visitante
Palmeiras,SP,Portuguesa,SP,1,1,2012,1,True,None,None,1,1,0,0,1,0,0,1,0,0,34,9,7,22,-15,45,10,15,13,-2
Sport,PE,Flamengo,RJ,1,1,2012,1,True,None,None,1,1,0,0,1,0,0,1,0,0,41,10,11,17,-17,50,12,14,12,-7
Figueirense,SC,Nautico,PE,2,1,2012,1,False,Figueirense,Nautico,3,0,1,0,0,0,1,0,1,-1,30,7,9,22,-33,49,14,7,17,-7
Ponte Preta,SP,Atletico-MG,MG,0,1,2012,1,False,Atletico-MG,Ponte Preta,0,3,0,1,0,1,0,0,-1,1,48,12,12,14,-7,72,20,12,6,27
Corinthians,SP,Fluminense,RJ,0,1,2012,1,False,Fluminense,Corinthians,0,3,0,1,0,1,0,0,-1,1,57,15,12,11,12,77,22,11,5,28
Botafogo,RJ,Sao Paulo,SP,4,2,2012,1,False,Botafogo,Sao Paulo,3,0,1,0,0,0,1,0,2,-2,55,15,10,13,10,66,20,6,12,22
Internacional,RS,Coritiba,PR,2,0,2012,1,False,Internacional,Coritiba,3,0,1,0,0,0,1,0,2,-2,52,13,13,12,4,48,14,6,18,-7
Vasco da Gama,RJ,Gremio,RS,2,1,2012,1,False,Vasco da Gama,Gremio,3,0,1,0,0,0,1,0,1,-1,58,16,10,12,1,71,20,11,7,23
Bahia,BA,Santos,SP,0,0,2012,1,True,None,None,1,1,0,0,1,0,0,1,0,0,47,11,14,13,-4,56,14,14,10,8
Cruzeiro,MG,Atletico-GO,GO,0,0,2012,1,True,None,None,1,1,0,0,1,0,0,1,0,0,52,15,7,16,-4,27,6,9,23,-32
Atletico-GO,GO,Ponte Preta,SP,1,1,2012,2,True,None,None,1,1,0,0,1,0,0,1,0,0,27,6,9,23,-32,48,12,12,14,-7
Flamengo,RJ,Internacional,RS,3,3,2012,2,True,None,None,1,1,0,0,1,0,0,1,0,0,50,12,14,12,-7,52,13,13,12,4
Portuguesa,SP,Vasco da Gama,RJ,0,1,2012,2,False,Vasco da Gama,Portuguesa,0,3,0,1,0,1,0,0,-1,1,45,10,15,13,-2,58,16,10,12,1
Nautico,PE,Cruzeiro,MG,0,0,2012,2,True,None,None,1,1,0,0,1,0,0,1,0,0,49,14,7,17,-7,52,15,7,16,-4
Santos,SP,Sport,PE,0,0,2012,2,True,None,None,1,1,0,0,1,0,0,1,0,0,56,14,14,10,8,41,10,11,17,-17
